NOBLE  NOBLE HS,649,2.04,5593257,4.69
NOBLE  PRITZKER HS,976,-3.17,8416366,2.03
NOBLE  RAUNER HS,657,1.23,5712397,8.52
NOBLE  ROWE CLARK HS,545,-2.33,4936614,-3.11
NOBLE  UIC HS,911,0.22,7781581,3.84
NORTH LAWNDALE  CHRISTIANA HS,369,-2.64,3166885,-1.84
NORTH LAWNDALE  COLLINS HS,384,-4.95,3405566,-6.03
NORTH RIVER,261,-3.69,2337490,5.64
NORTHGRAND HS,957,-0.42,8612409,5.00
NORTHSIDE LEARNING HS,207,-9.21,5700192,0.79
NORTHSIDE PREP HS,1074,0.47,7757489,4.02
NORTHWEST,471,-4.27,3487380,-5.49
NORWOOD PARK,370,-1.33,2736513,1.36
OGDEN,1507,-2.90,10709323,2.88
OGLESBY,423,-1.86,3775658,3.16
OKEEFFE,592,-1.00,4625234,8.05
OMBUDSMAN  NORTHWEST HS,227,-11.67,1920683,-5.03
OMBUDSMAN  SOUTH HS,352,-23.64,3065502,-13.50
OMBUDSMAN  WEST HS,336,-7.95,2882353,-0.21
ONAHAN,589,-1.83,4008433,3.84
ORIOLE PARK,677,3.36,4344699,8.03
OROZCO,540,1.89,4592498,-3.65
ORR HS,312,-19.17,3263253,-10.25
ORTIZ DE DOMINGUEZ,449,-11.09,3763301,-3.26
OTIS,408,-9.13,4271845,-6.93
OTOOLE,330,-8.84,2771205,-0.86
OWEN,267,1.52,2167442,3.18
OWENS,367,-8.02,3226493,-8.57
PALMER,743,-2.62,5580939,1.90
PARK MANOR,291,-6.73,2347399,-2.63
PARKER,428,-8.74,3280882,-12.36
PARKSIDE,201,-5.63,1875959,-0.46
PASTEUR,697,-43.15,5325595,-37.30
PATHWAYS  ASHBURN HS,206,3.52,1739415,5.33
PATHWAYS  AVONDALE HS,214,-14.40,1820126,-13.11
PATHWAYS  BRIGHTON PARK HS,359,1.70,2873803,5.80
PAYTON HS,1086,10.93,7785564,11.39
PEACE AND EDUCATION HS,107,-5.31,1227141,-1.39
PECK,730,-48.92,5668848,-41.81
PEIRCE,911,-1.41,6805154,0.82
PENN,293,-7.28,3036095,-3.63
PEREZ,264,-4.00,2352995,0.64
PERSHING,633,6.75,4517941,9.02
PERSPECTIVES  JOSLIN HS,394,0.00,3642738,6.59
PERSPECTIVES  LEADERSHIP HS,460,-4.37,4294934,-2.32
PERSPECTIVES  MATH & SCI HS,456,-2.77,4188300,-0.74
PERSPECTIVES  TECH HS,353,-7.35,3245628,-5.07
PETERSON,839,0.24,6234234,7.38
PHILLIPS HS,516,-7.53,5174496,-4.79
PHOENIX MILITARY HS,540,0.00,4739497,-1.55
PICCOLO,548,-0.90,4165874,1.56
PICKARD,390,-12.36,3236829,-5.93
PILSEN,291,-6.13,2751461,-7.81
PIRIE,232,-10.42,2248845,-0.83
PLAMONDON,144,0.00,1102049,-5.07
PLATO,454,1.34,3303719,4.77
POE,220,2.80,1568447,5.31
POLARIS,444,-0.22,3543412,6.69
PORTAGE PARK,820,-4.32,6146393,-1.26
POWELL,583,3.19,4513713,7.55
PRESCOTT,346,2.06,2582925,2.22
PRIETO,950,-1.96,7357310,2.78
PRITZKER,719,0.14,4740283,3.96
PROSSER HS,1336,-2.98,11123225,-2.63
PROVIDENCE ENGLEWOOD,506,0.80,3808414,11.43
PRUSSING,654,-0.91,4760620,-4.93
PULASKI,826,1.23,5813607,3.85
PULLMAN,335,5.68,2713309,3.46
RABY HS,401,-3.61,4065613,-6.17
RANDOLPH,452,-2.80,3474731,0.40
RAVENSWOOD,511,2.61,3703705,7.07
RAY,597,-3.71,4746457,-0.87
REAVIS,187,-4.59,1631041,3.04
REILLY,860,-3.91,6627867,0.96
REINBERG,747,-1.06,6535710,0.44
REVERE,181,-10.40,1525329,-9.61
RICHARDS HS,240,-4.76,2214739,-5.20
RICHARDSON,1242,#DIV/0!,8690907,#DIV/0!
RICKOVER MILITARY HS,563,-0.71,4839490,-0.55
ROBESON HS,120,-20.53,1601135,-17.48
ROBINSON,89,-2.20,848497,-3.82
ROGERS,723,2.55,5496834,4.98
ROOSEVELT HS,1073,-10.43,9931236,0.56
ROWE,1001,5.81,7360873,9.30
RUDOLPH,72,9.09,2567517,-0.40
RUGGLES,368,0.55,2757505,5.65
RUIZ,683,-5.66,5510980,-1.03
RYDER,342,-0.29,3639695,-0.55
SABIN,583,-3.16,4358936,0.03
SALAZAR,326,-5.78,2631980,-3.58
SANDOVAL,929,-5.49,6982249,0.04
SAUCEDO,966,-4.83,7334383,2.30
SAUGANASH,576,-1.20,3439669,-0.55
SAWYER,1597,-3.80,11017411,2.13
SAYRE,384,-8.35,2900523,-0.41
SCAMMON,747,-1.71,5398589,-0.78
SCHMID,180,-2.17,1558022,3.67
SCHUBERT,692,-4.81,5316292,0.70
SCHURZ HS,1638,-9.60,14990516,-5.92
SENN HS,1458,3.04,12267734,6.88
SEWARD,644,-6.53,5138954,-0.28
SHERIDAN,564,0.18,4104566,2.04
SHERMAN,242,-7.63,1923781,-1.05
SHERWOOD,263,-4.01,2303554,-7.92
SHIELDS,767,-6.69,6102865,-2.63
SHIELDS MIDDLE,623,-4.74,4844769,-0.17
SHOESMITH,330,-7.04,2411268,-1.63
SHOOP,411,-5.73,3247119,-2.23
SIMEON HS,1348,1.89,10846030,3.73
SIMPSON HS,52,-18.75,619028,0.74
SKINNER,1092,4.10,6731000,6.37
SKINNER NORTH,492,0.82,3266509,9.70
SMITH,325,-2.69,2545493,-6.39
SMYSER,932,-2.00,6569200,5.71
SMYTH,362,-2.69,3625289,-1.93
SOCIAL JUSTICE HS,297,-2.30,2753066,-4.37
SOLOMON,300,-2.28,3148394,2.63
SOLORIO HS,1199,4.99,9854822,5.85
SOUTH LOOP,753,-3.34,4482614,-2.40
SOUTH SHORE ES,388,-2.51,3690155,4.49
SOUTH SHORE INTL HS,610,3.21,5456031,10.51
SOUTHEAST,456,12.87,3248781,33.16
SOUTHSIDE HS,234,-13.33,6296019,-1.36
SPENCER,578,-8.83,4849450,-5.59
SPRY ES,531,-3.80,4162703,-0.87
SPRY HS,125,-22.84,1445140,-13.02
STAGG,373,-8.35,2973995,-4.14
STEINMETZ HS,1276,-7.13,11558622,-4.47
STEM,465,0.87,3185219,5.55
STEVENSON,1178,-0.17,9451642,2.99
STOCK,-1,-1,816110,-6.39
STONE,624,-0.32,4652202,0.78
STOWE,592,-6.03,4714983,-6.97
SUDER,319,-4.78,3534594,1.94
SULLIVAN HS,658,5.11,6518056,9.23
SUMNER,227,-8.47,1765238,-9.52
SUTHERLAND,586,-4.87,4140072,0.03
SWIFT,588,-3.61,4780960,6.16
TAFT HS,3302,0.40,23350944,2.71
TALCOTT,460,-2.95,3935148,4.23
TALMAN,363,0.00,3207789,3.64
TANNER,299,-5.08,2874540,1.46
TARKINGTON,925,-3.85,6604858,-1.82
TAYLOR,447,-1.97,3630480,-0.42
TEAM HS,108,-32.50,1655797,-20.57
TELPOCHCALLI,253,-5.24,2778445,0.55
THOMAS,-1,0,529287,1.61
THORP J,294,-2.00,3116571,2.14
THORP O,841,0.12,6440013,6.50
TILDEN HS,252,-10.00,3021673,-8.44
TILL,299,-7.14,2448151,-1.36
TILTON,288,-6.49,2433315,-7.17
TONTI,917,-2.76,6625544,4.33
TURNERDREW,246,-6.46,2317679,1.78
TWAIN,1090,-1.80,7699310,2.69
U OF C  DONOGHUE,515,1.78,3645519,6.81
U OF C  NKO,353,2.92,2500457,4.50
U OF C  WOODLAWN HS,619,-0.48,5479669,6.45
U OF C  WOODSON,306,3.03,2239543,1.62
UNO  BRIGHTON PARK,582,1.57,4623139,6.72
UNO  CISNEROS,565,3.67,4266318,3.94
UNO  CLEMENTE,574,0.88,4275069,2.66
UNO  DE LAS CASAS,286,0.35,2214324,4.39
